Open,Close,High,Low,Volume,Date
381.96,383.26,383.75,381.56,,10/23/20
382.14,385.14,385.62,382.14,,10/09/20
379.26,382.14,382.28,379.26,,10/08/20
375.46,379.26,379.8,374.61,,10/07/20
377.77,375.46,379.99,374.63,,10/06/20
371.9,377.77,377.82,371.87,,10/05/20
371.74,371.74,371.74,371.74,,10/03/20
374.28,371.74,374.64,370.07,,10/02/20
372.46,374.28,375.34,372.46,,10/01/20
370.92,372.46,374.5,369.86,,09/30/20
371.9,370.92,372.63,370.42,,09/29/20
366.09,371.9,372.7,366.09,,09/28/20
365.97,365.97,365.97,365.97,,09/26/20
362.34,365.97,366.54,360.74,,09/25/20
364.03,362.34,364.96,359.57,,09/24/20
369.33,364.03,370.56,363.5,,09/23/20
367.83,369.33,369.68,366.28,,09/22/20
373.76,367.83,374.09,363.75,,09/21/20
373.98,373.98,373.98,373.98,,09/19/20
376.03,373.98,376.94,372.09,,09/18/20
379.19,376.03,379.19,373.97,,09/17/20
379.5,379.19,382.18,378.92,,09/16/20
377.68,379.5,381.03,377.29,,09/15/20
373.39,377.68,378.8,373.38,,09/14/20
373.32,373.32,373.32,373.32,,09/12/20
372.98,373.32,375.4,371.19,,09/11/20
376.43,372.98,379.37,372.02,,09/10/20
371.32,376.43,378.12,369.94,,09/09/20
378.81,371.32,379.31,371.05,,09/08/20
378.13,378.81,378.91,377.64,,09/07/20
377.81,377.81,377.81,377.81,,09/05/20
381.73,377.81,382.44,371.92,,09/04/20
391.19,381.73,392,379.93,,09/03/20
387.54,391.19,391.65,387.14,,09/02/20
385.44,387.54,387.54,384.91,,09/01/20
386.65,385.44,387.47,384.87,,08/31/20
386.52,386.52,386.52,386.52,,08/29/20
384.33,386.52,386.73,384.33,,08/28/20
384.81,384.33,385.78,383.13,,08/27/20
381.5,384.81,385,381.19,,08/26/20
380.39,381.5,381.73,380.27,,08/25/20
376.34,380.39,380.39,376.12,,08/24/20
376.18,376.18,376.18,376.18,,08/22/20
375.35,376.18,376.67,374.69,,08/21/20
376.95,375.35,376.95,372.84,,08/20/20
377.81,376.95,378.61,376.07,,08/19/20
376.85,377.81,378.79,376.45,,08/18/20
375.38,376.85,377.13,375.16,,08/17/20
375.34,375.34,375.34,375.34,,08/15/20
376.26,375.34,376.34,374.59,,08/14/20
376.46,376.26,377.22,375.32,,08/13/20
371.98,376.46,376.83,371.29,,08/12/20
371.76,371.98,375.26,371.36,,08/11/20
370.99,371.76,372.19,369.98,,08/10/20
371.1,371.1,371.1,371.1,,08/08/20
372.29,371.1,372.49,369.41,,08/07/20
371.59,372.29,372.55,370.03,,08/06/20
368.3,371.59,371.88,368.3,,08/05/20
365.99,368.3,368.71,365.99,,08/04/20
363.15,365.99,366.75,362.93,,08/03/20
363.44,363.44,363.44,363.44,,08/01/20
363.66,363.44,364.35,359.87,,07/31/20
366.1,363.66,366.55,360.19,,07/30/20
363.31,366.1,366.7,362.74,,07/29/20
364.45,363.31,365.43,363.16,,07/28/20
361.27,364.45,364.45,361.02,,07/27/20
361.23,361.23,361.23,361.23,,07/25/20
364.21,361.23,364.37,359.95,,07/24/20
366.82,364.21,367.56,363.29,,07/23/20
366.32,366.82,366.89,365.03,,07/22/20
364.13,366.32,368.09,364.13,,07/21/20
361.3,364.13,364.56,360.59,,07/20/20
361.13,361.13,361.13,361.13,,07/18/20
360.16,361.13,361.88,359.65,,07/17/20
362.37,360.16,362.37,358.83,,07/16/20
358.16,362.37,363.38,358.16,,07/15/20
356.51,358.16,358.39,352.98,,07/14/20
356.89,356.51,362.13,355.81,,07/13/20
356.98,356.98,356.98,356.98,,07/11/20
354.82,356.98,356.98,353.21,,07/10/20
356.16,354.82,357.81,352.17,,07/09/20
354.27,356.16,356.5,353.58,,07/08/20
357.57,354.27,357.86,354,,07/07/20
351.18,357.57,357.72,351.17,,07/06/20
351.13,351.13,351.13,351.13,,07/04/20
350.86,351.13,351.85,350.86,,07/03/20
347.6,350.86,353.73,347.6,,07/02/20
346.11,347.6,348.45,345.26,,07/01/20
342.65,346.11,346.99,342.55,,06/30/20
340.46,342.65,342.74,338.86,,06/29/20
340.29,340.29,340.29,340.29,,06/27/20
345.37,340.29,346.88,340.26,,06/26/20
343.96,345.37,345.58,340.91,,06/25/20
351.86,343.96,352.07,342.59,,06/24/20
348.66,351.86,353.27,348.16,,06/23/20
347.39,348.66,348.98,346.08,,06/22/20
347.53,347.53,347.53,347.53,,06/20/20
348.26,347.53,351.55,346.56,,06/19/20
348.62,348.26,349.07,346.62,,06/18/20
348.63,348.62,350.51,348.13,,06/17/20
