Open,Close,High,Low,Volume,Date
3464.9,3465.39,3466.46,3440.45,2,10/23/2020
3438.5,3453.49,3460.53,3415.34,2,10/22/2020
3439.91,3435.56,3464.86,3433.06,2,10/21/2020
3439.38,3443.12,3476.93,3435.65,2,10/20/2020
3493.66,3426.92,3502.42,3419.93,2,10/19/2020
3493.5,3483.81,3515.76,3480.45,2,10/16/2020
3453.72,3483.34,3489.08,3440.89,2,10/15/2020
3515.47,3488.67,3527.94,3480.55,2,10/14/2020
3534.01,3511.93,3534.01,3500.86,2,10/13/2020
3500.02,3534.22,3549.85,3499.61,2,10/12/2020
3459.67,3477.13,3482.34,3458.07,2,10/9/2020
3434.28,3446.83,3447.28,3428.15,2,10/8/2020
3384.56,3419.45,3426.26,3384.56,2,10/7/2020
3408.74,3360.95,3431.56,3354.54,2,10/6/2020
3367.27,3408.63,3409.57,3367.27,2,10/5/2020
3338.94,3348.44,3369.1,3323.69,2,10/2/2020
3385.87,3380.8,3397.18,3361.39,2,10/1/2020
3341.21,3363,3393.56,3340.47,2,9/30/2020
3350.92,3335.47,3357.92,3327.54,1,9/29/2020
3333.9,3351.6,3360.74,3332.91,2,9/28/2020
3236.66,3298.46,3306.88,3228.44,2,9/25/2020
3226.14,3246.59,3278.7,3209.45,2,9/24/2020
3320.11,3236.92,3323.35,3232.57,2,9/23/2020
3295.75,3315.57,3320.31,3270.95,2,9/22/2020
3285.57,3281.06,3285.57,3229.1,2,9/21/2020
3357.38,3319.47,3362.27,3292.4,4,9/18/2020
3346.86,3357.01,3375.17,3328.82,2,9/17/2020
3411.23,3385.49,3428.92,3384.45,2,9/16/2020
3407.73,3401.2,3419.48,3389.25,2,9/15/2020
3363.56,3383.54,3402.93,3363.56,2,9/14/2020
3352.7,3340.97,3368.95,3310.47,2,9/11/2020
3412.56,3339.19,3425.55,3329.25,2,9/10/2020
3369.82,3398.96,3424.77,3366.84,2,9/9/2020
3371.88,3331.84,3379.97,3329.27,3,9/8/2020
3453.6,3426.96,3479.15,3349.63,3,9/4/2020
3564.74,3455.06,3564.85,3427.41,3,9/3/2020
3543.76,3580.84,3588.11,3535.23,2,9/2/2020
3507.44,3526.65,3528.03,3494.6,2,9/1/2020
3509.73,3500.31,3514.77,3493.25,2,8/31/2020
3494.69,3508.01,3509.23,3484.32,2,8/28/2020
3485.14,3484.55,3501.38,3468.35,2,8/27/2020
3449.97,3478.73,3481.07,3444.15,2,8/26/2020
3435.95,3443.62,3444.21,3425.84,2,8/25/2020
3418.09,3431.28,3432.09,3413.13,2,8/24/2020
3386.01,3397.16,3399.96,3379.31,1,8/21/2020
3360.48,3385.51,3390.8,3354.69,1,8/20/2020
3392.51,3374.85,3399.54,3369.66,2,8/19/2020
3387.04,3389.78,3395.06,3370.15,1,8/18/2020
3380.86,3381.99,3387.59,3379.22,1,8/17/2020
3368.66,3372.85,3378.51,3361.64,1,8/14/2020
3372.95,3373.43,3387.24,3363.35,1,8/13/2020
3355.46,3380.35,3387.89,3355.46,2,8/12/2020
3370.34,3333.69,3381.01,3326.44,2,8/11/2020
3356.04,3360.47,3363.29,3335.44,2,8/10/2020
3340.05,3351.28,3352.54,3328.72,2,8/7/2020
